Date,Average
8/21/2016,1.43
8/20/2016,1.46
8/19/2016,1.485
8/18/2016,1.52
8/17/2016,1.47
8/16/2016,1.435
8/15/2016,1.465
8/14/2016,1.53
8/13/2016,1.505
8/12/2016,1.44
8/11/2016,1.54
8/10/2016,1.675
8/9/2016,1.9
8/8/2016,2.05
8/7/2016,2.08
8/6/2016,2.055
8/5/2016,2.075
8/4/2016,2.075
8/3/2016,2.08
8/2/2016,2.12
8/1/2016,2.195
7/31/2016,2.385
7/30/2016,2.295
7/29/2016,2.43
7/28/2016,2.72
7/27/2016,2.785
7/26/2016,3.08
7/25/2016,3.405
7/24/2016,3.655
7/23/2016,3.585
7/22/2016,3.395
7/21/2016,3.695
7/20/2016,4.12
7/19/2016,3.405
7/18/2016,2.905
7/17/2016,3.26
7/16/2016,3.235
7/15/2016,3.49
7/14/2016,3.915
7/13/2016,3.35
7/12/2016,1.867514
7/11/2016,0.759964
7/10/2016,0.545366
7/9/2016,0.4354425
7/8/2016,0.312425
7/7/2016,0.2765175
7/6/2016,0.2471685
7/5/2016,0.24557
7/4/2016,0.238059
7/3/2016,0.227786
7/2/2016,0.2122965
7/1/2016,0.2393085
6/30/2016,0.2515575
6/29/2016,0.231662
6/28/2016,0.2207315
6/27/2016,0.2022305
6/26/2016,0.2125045
6/25/2016,0.2309385
6/24/2016,0.26288
6/23/2016,0.247569
6/22/2016,0.2058895
6/21/2016,0.2636065
6/20/2016,0.3199485
6/19/2016,0.3194435
6/18/2016,0.3070675
6/17/2016,0.358443
6/16/2016,0.3782285
6/15/2016,0.3655585
6/14/2016,0.3838365
6/13/2016,0.3815195
6/12/2016,0.3799435
6/11/2016,0.3764415
6/10/2016,0.380809
6/9/2016,0.380104
6/8/2016,0.355238
6/7/2016,0.362872
6/6/2016,0.377308
6/5/2016,0.397215
6/4/2016,0.3965255
6/3/2016,0.386201
6/2/2016,0.4117095
6/1/2016,0.4214775
5/31/2016,0.4346155
5/30/2016,0.448373
5/29/2016,0.4664775
5/28/2016,0.49936
5/27/2016,0.624354
5/26/2016,0.649941
5/25/2016,0.549933
5/24/2016,0.4874025
5/23/2016,0.4365015
5/22/2016,0.436871
5/21/2016,0.4216765
5/20/2016,0.3849285
5/19/2016,0.345523
5/18/2016,0.3627245
5/17/2016,0.3623925
5/16/2016,0.358487
5/15/2016,0.374872
5/14/2016,0.3605455
5/13/2016,0.3033435
5/12/2016,0.258499
5/11/2016,0.2539355
5/10/2016,0.2572905
5/9/2016,0.284511
5/8/2016,0.3098725
5/7/2016,0.3320355
5/6/2016,0.370014
5/5/2016,0.403457
5/4/2016,0.4326205
5/3/2016,0.42332
5/2/2016,0.434452
5/1/2016,0.442607
4/30/2016,0.4263375
4/29/2016,0.441623
4/28/2016,0.4404225
4/27/2016,0.3952525
4/26/2016,0.371775
4/25/2016,0.466829
4/24/2016,0.5680455
4/23/2016,0.536592
4/22/2016,0.562209
4/21/2016,0.7557075
4/20/2016,0.7995665
4/19/2016,0.8222245
4/18/2016,0.7602915
